标的,阶段,参数SAME,参数REV,总收益%,BNH收益%,超额Alpha%,夏普比率,最大回撤%,交易笔数,胜率%,平均持有天数,持多比例%,起始日,结束日
上证50ETF,全程,1.5,2.5,17.79,9.86,7.93,0.6,-12.11,30,53.3,11.6,31.9,2023-04-17,2026-04-15
上证50ETF,熊市,1.5,2.5,-8.82,-15.16,6.34,-1.02,-12.11,16,37.5,8.7,27.8,2023-04-17,2024-09-20
上证50ETF,牛市,1.5,2.5,29.11,29.1,0.01,1.37,-9.27,15,66.7,13.7,35.6,2024-09-23,2026-04-15
沪深300ETF,全程,2.5,2.5,16.05,13.24,2.8,0.58,-8.84,32,50.0,2.7,8.8,2023-04-17,2026-04-15
沪深300ETF,熊市,2.5,2.5,-5.99,-21.01,15.02,-1.87,-6.61,14,28.6,1.0,4.0,2023-04-17,2024-09-20
沪深300ETF,牛市,2.5,2.5,23.45,42.98,-19.53,1.12,-8.84,18,66.7,4.0,13.3,2024-09-23,2026-04-15
中证500ETF,全程,2.5,2.5,46.77,25.32,21.45,0.96,-13.38,31,41.9,11.5,33.7,2023-04-17,2026-04-15
中证500ETF,熊市,2.5,2.5,-12.98,-29.42,16.44,-1.47,-13.38,17,29.4,5.1,17.5,2023-04-17,2024-09-20
中证500ETF,牛市,2.5,2.5,68.67,77.6,-8.93,1.88,-11.05,14,57.1,19.4,48.7,2024-09-23,2026-04-15
科创50ETF,全程,2.5,1.5,27.25,23.35,3.91,0.51,-12.91,39,38.5,4.7,17.7,2023-04-17,2026-04-15
科创50ETF,熊市,2.5,1.5,-5.0,-43.0,38.01,-0.38,-7.1,13,30.8,3.9,10.3,2023-04-17,2024-09-20
科创50ETF,牛市,2.5,1.5,33.95,117.73,-83.78,0.86,-12.91,26,42.3,5.1,24.5,2024-09-23,2026-04-15
深证100ETF,全程,3.0,2.0,62.43,19.35,43.08,1.27,-10.43,27,63.0,6.5,16.8,2023-04-17,2026-04-15
深证100ETF,熊市,3.0,2.0,-4.36,-28.42,24.06,-0.4,-7.13,12,33.3,6.7,15.8,2023-04-17,2024-09-20
深证100ETF,牛市,3.0,2.0,69.83,66.65,3.18,2.05,-10.43,15,86.7,6.4,17.8,2024-09-23,2026-04-15
创业板ETF,全程,4.0,1.0,19.37,48.52,-29.15,0.4,-17.73,37,51.4,4.9,17.1,2023-04-17,2026-04-15
创业板ETF,熊市,4.0,1.0,-13.28,-36.21,22.93,-0.94,-13.71,15,40.0,4.1,12.6,2023-04-17,2024-09-20
创业板ETF,牛市,4.0,1.0,37.65,133.91,-96.26,0.93,-17.73,22,59.1,5.5,21.3,2024-09-23,2026-04-15
