标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
中证500ETF,全程,1,2023-05-08,2023-05-09,6.2323,6.262,6.2323,6.2526,1,0.325,盈
中证500ETF,全程,2,2023-05-22,2023-05-23,6.1662,6.149,6.1662,6.1398,1,-0.429,亏
中证500ETF,全程,3,2023-06-05,2023-06-07,6.1542,6.031,6.1542,6.022,2,-2.149,亏
中证500ETF,全程,4,2023-06-15,2023-06-21,6.1292,6.192,6.1292,6.1827,6,0.873,盈
中证500ETF,全程,5,2023-07-05,2023-07-06,6.1412,6.1,6.1412,6.0908,1,-0.82,亏
中证500ETF,全程,6,2023-07-31,2023-08-01,6.1752,6.196,6.1752,6.1867,1,0.186,盈
中证500ETF,全程,7,2023-10-09,2023-10-10,5.7987,5.766,5.7987,5.7574,1,-0.713,亏
中证500ETF,全程,8,2023-10-16,2023-10-17,5.7486,5.69,5.7486,5.6815,1,-1.168,亏
中证500ETF,全程,9,2023-10-30,2023-10-31,5.5834,5.638,5.5834,5.6295,1,0.827,盈
中证500ETF,全程,10,2024-01-29,2024-01-30,5.1227,4.993,5.1227,4.9855,1,-2.678,亏
中证500ETF,全程,11,2024-02-19,2024-02-26,5.3079,5.27,5.3079,5.2621,7,-0.864,亏
中证500ETF,全程,12,2024-03-04,2024-03-11,5.4692,5.432,5.4692,5.4239,7,-0.829,亏
中证500ETF,全程,13,2024-04-08,2024-04-15,5.4582,5.35,5.4582,5.342,7,-2.129,亏
中证500ETF,全程,14,2024-04-22,2024-05-20,5.3941,5.507,5.3941,5.4987,28,1.94,盈
中证500ETF,全程,15,2024-06-17,2024-06-24,5.2549,5.14,5.2549,5.1323,7,-2.333,亏
中证500ETF,全程,16,2024-08-05,2024-08-12,4.8473,4.79,4.8473,4.7828,7,-1.33,亏
中证500ETF,全程,17,2024-09-02,2024-09-09,4.7071,4.6,4.7071,4.5931,7,-2.421,亏
中证500ETF,全程,18,2024-09-23,2024-10-14,4.5658,5.57,4.5658,5.5616,21,21.81,盈
中证500ETF,全程,19,2024-10-21,2024-11-18,5.7696,6.03,5.7696,6.021,28,4.356,盈
中证500ETF,全程,20,2024-12-02,2024-12-03,5.9549,6.038,5.9549,6.0289,1,1.243,盈
中证500ETF,全程,21,2025-01-20,2025-01-21,5.6234,5.63,5.6234,5.6216,1,-0.033,亏
中证500ETF,全程,22,2025-02-10,2025-02-11,5.8518,5.881,5.8518,5.8722,1,0.349,盈
中证500ETF,全程,23,2025-03-17,2025-03-18,6.1192,6.112,6.1192,6.1028,1,-0.267,亏
中证500ETF,全程,24,2025-05-06,2025-05-19,5.6635,5.71,5.6635,5.7014,13,0.67,盈
中证500ETF,全程,25,2025-06-30,2025-09-08,5.9259,7.011,5.9259,7.0005,70,18.134,盈
中证500ETF,全程,26,2025-09-15,2025-10-20,7.2629,7.174,7.2629,7.1632,35,-1.372,亏
中证500ETF,全程,27,2025-10-27,2025-11-17,7.4441,7.334,7.4441,7.323,21,-1.627,亏
中证500ETF,全程,28,2025-12-01,2026-02-09,7.1627,8.35,7.1627,8.3375,70,16.401,盈
中证500ETF,全程,29,2026-02-24,2026-03-04,8.4837,8.241,8.4837,8.2286,8,-3.007,亏
中证500ETF,全程,30,2026-03-16,2026-03-17,8.3104,8.265,8.3104,8.2526,1,-0.696,亏
中证500ETF,全程,31,2026-04-13,2026-04-14,7.997,8.11,7.997,8.0978,1,1.261,盈
